okno,ema,prog,zysk_oos_%,dd_oos_%
2020-01,500,3.0,24.968022429300007,-21.95034741208207
2020-07,600,2.0,181.70591389230003,-16.761416636784165
2021-01,700,1.0,22.14827559820001,-23.06871581793004
2021-07,700,1.0,59.780207549,-18.89776198581119
2022-01,600,2.0,-15.7847790971,-25.276287042364977
2022-07,700,1.0,-25.354841999,-26.43224715909147
2023-01,800,1.0,64.93497385890007,-14.555474019220306
2023-07,800,1.0,35.256855871800006,-13.687847623783611
2024-01,800,1.0,33.5811699488,-22.14343211476748
2024-07,800,1.0,15.704581052200005,-25.152068371298853
2025-01,500,1.0,-10.652928743500034,-27.217343181697185
2025-07,1200,1.0,-1.4703610436555326,-15.245752346498909
2026-01,1200,2.0,-6.600044990400001,-13.425700339930257
